district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
9,14,0,4,2,140,1,0,12,1500000
1,51,0,4,1,108,1,0,10,550000
1,12,0,4,1,33,1,0,12,230000
8,18,0,2,3,77,0,0,7,245000
9,64,0,0,4,335,0,0,17,1490000
9,22,0,0,4,304,0,0,17,675000
9,14,0,4,4,185,1,0,15,1190000
2,55,0,7,3,111,0,0,17,430000
2,21,0,0,5,222,0,0,17,975000
3,5,0,2,3,63,1,0,0,199900
9,64,0,2,3,118,1,0,7,795000
8,44,0,2,3,89,1,0,7,235000
2,29,0,2,2,84,1,0,7,535000
1,51,0,2,3,90,1,0,13,329000
1,45,0,2,3,117,1,1,10,595000
1,12,0,2,2,58,1,0,7,319000
9,14,0,2,4,140,1,0,7,685000
3,13,0,4,3,66,1,0,4,199900
6,34,0,2,3,62,1,0,7,220000
5,48,0,4,4,91,1,0,3,353900
8,38,0,2,3,74,1,0,11,279900
4,62,0,2,3,94,1,0,13,479000
9,15,0,2,2,130,0,1,18,349000
8,6,0,2,3,70,1,1,7,215000
8,49,0,4,3,110,1,0,1,360000
1,53,0,2,3,66,1,0,13,270000
1,42,0,4,3,230,1,0,15,1300000
4,8,0,2,2,63,1,0,13,450000
1,53,0,2,3,125,1,0,10,460000
1,51,0,2,3,99,1,0,13,360000
4,8,0,1,6,496,1,0,12,3300000
0,26,0,2,3,65,1,0,0,250000
8,6,0,2,3,70,1,1,19,219000
1,45,0,2,3,180,1,0,11,895000
9,20,0,2,4,120,0,0,7,760000
0,17,0,2,2,94,0,0,7,319000
9,15,0,3,11,773,0,0,17,5700000
1,12,0,2,3,94,1,0,11,448000
0,17,0,2,3,144,1,0,7,599000
1,42,0,2,2,121,1,0,7,485000
1,42,0,2,2,150,1,0,0,1100000
1,42,0,2,2,157,1,0,0,1100000
1,51,0,2,3,110,1,0,0,598000
9,15,0,2,2,138,0,0,18,349000
0,17,0,2,3,131,1,0,0,970000
1,35,0,2,4,150,1,0,0,695000
8,49,0,2,3,94,1,0,0,239000
1,45,0,2,1,77,1,0,11,690000
1,42,0,2,3,180,1,0,7,530000
8,6,0,2,2,73,0,0,0,375000
6,7,0,2,4,91,1,0,7,330000
1,51,0,2,4,109,1,0,0,500000
1,35,0,2,3,100,1,0,12,335000
1,35,0,2,3,85,1,0,12,475000
9,14,0,2,4,145,1,0,7,850000
1,51,0,2,6,149,1,0,0,575000
9,14,0,4,3,102,1,0,14,695000
9,15,0,3,7,488,0,0,17,2600000
9,20,0,3,5,310,0,0,17,1590000
7,39,0,4,2,134,1,0,4,1900000
7,4,0,2,4,130,1,1,6,1950000
4,8,0,2,5,212,1,0,10,1595000
9,20,0,3,3,256,0,0,17,2300000
0,26,0,2,4,222,0,0,12,1690000
9,15,0,3,4,284,0,0,17,1950000
9,14,0,4,4,185,1,0,12,1190000
4,50,0,2,4,80,1,0,0,290000
2,61,0,2,2,192,1,0,18,622000
2,61,0,2,1,52,1,0,0,315000
8,49,0,2,3,86,1,0,7,299000
8,44,0,2,3,106,1,0,13,299000
0,17,0,2,2,100,0,0,0,495000
8,49,0,2,3,93,1,0,13,299000
8,38,0,2,1,57,0,0,7,268000
8,18,0,2,3,78,1,0,0,360000
1,45,0,2,3,110,1,0,11,445000
9,20,0,2,4,235,1,0,11,1336000
1,51,0,2,3,100,1,0,7,435000
9,14,0,2,3,99,1,0,13,635000
9,14,0,4,5,277,1,0,12,1900000
9,14,0,4,5,185,1,0,15,1475000
9,15,0,2,5,250,1,0,7,1100000
9,14,0,2,5,270,1,0,0,1045000
1,45,0,2,3,90,1,0,11,680000
9,15,0,2,3,80,1,0,12,415000
2,29,0,2,4,77,1,1,10,180000
7,10,0,2,4,79,1,0,11,195000
3,5,0,2,4,70,1,0,10,198000
9,22,0,2,4,124,1,0,7,590000
2,21,0,4,3,140,1,0,10,595000
9,14,0,2,6,325,1,0,7,1500000
6,7,0,2,3,79,1,0,7,199500
0,41,0,2,2,65,1,0,0,195000
7,30,0,2,3,65,1,0,11,225000
7,39,0,2,2,65,1,0,11,247000
2,29,0,2,3,93,1,0,13,385000
0,26,0,4,3,200,1,0,11,2500000
0,41,0,2,2,45,0,0,7,162000
2,29,0,2,3,96,1,0,10,375000
4,8,0,2,3,210,1,0,7,1620000
9,14,0,2,4,181,1,0,0,1095000
9,20,0,2,4,182,1,0,7,1400000
4,62,0,4,3,97,1,0,13,398000
2,29,0,4,3,125,1,0,11,625000
7,10,0,2,3,73,1,0,0,218000
7,32,0,2,3,58,1,0,10,245000
6,54,0,2,2,65,1,0,18,155000
0,26,0,2,3,95,1,0,11,375000
6,11,0,2,2,73,1,0,0,270000
7,27,0,2,3,90,1,0,14,359000
7,37,0,2,2,71,1,0,19,292000
7,37,0,2,1,51,1,0,0,269000
7,37,0,2,1,51,1,0,7,295000
7,37,0,2,1,64,1,0,0,400000
1,12,0,2,3,135,1,0,0,745000
7,39,0,2,4,139,1,0,11,990000
1,35,0,4,5,175,1,0,15,699000
7,32,0,2,3,78,1,0,12,238000
9,40,0,3,4,178,0,0,17,995000
6,11,0,3,3,75,0,0,17,298000
7,30,0,2,3,67,1,1,0,230000
7,27,0,2,4,91,1,0,12,249000
9,20,0,2,4,143,1,0,0,700000
1,51,0,2,4,100,1,0,7,350000
9,20,0,2,2,60,1,0,7,350000
4,8,0,2,2,70,1,0,13,440000
2,61,0,2,3,190,1,0,10,1080000
8,19,0,2,2,62,0,0,18,244000
9,15,0,2,5,350,1,0,0,1595000
1,42,0,2,4,113,1,0,11,535000
0,41,0,2,1,38,0,0,11,139000
7,59,0,2,3,76,1,0,7,135000
9,14,0,4,4,325,1,0,15,1886000
9,14,0,4,5,665,1,0,13,6250000
9,20,0,2,5,331,1,0,0,1290000
0,26,0,2,2,86,1,0,10,470000
1,42,0,2,3,85,1,0,10,485000
4,8,0,4,5,371,1,0,14,2000000
0,17,0,2,3,72,1,0,0,415000
0,41,0,2,3,85,1,0,10,485000
9,20,0,0,8,520,0,0,17,3900000
1,53,0,2,4,95,1,0,7,485000
1,45,0,2,4,140,1,0,0,795000
0,17,0,2,3,318,1,0,11,2500000
2,61,0,2,3,69,1,0,7,240000
0,41,0,2,2,56,0,1,10,200000
6,54,0,2,3,65,0,0,7,195000
8,49,0,2,4,110,1,0,0,279000
8,19,0,2,2,70,1,0,0,239000
3,46,0,2,4,275,1,0,0,450000
9,20,0,2,4,196,1,0,11,1150000
1,51,0,2,4,94,1,0,11,389000
4,50,0,2,3,64,1,0,7,260000
9,40,0,1,3,105,1,0,18,580000
2,29,0,2,2,56,0,0,12,312000
4,8,0,2,5,309,1,0,11,2000000
4,62,0,4,2,72,1,1,13,290000
5,52,0,2,3,77,0,0,10,139900
3,25,0,4,1,50,0,0,10,230000
9,15,0,2,3,149,1,0,0,1400000
5,9,0,2,3,65,1,1,11,185000
4,50,0,2,3,85,1,1,0,265000
1,51,0,2,4,190,1,0,12,895000
0,43,0,2,2,39,1,0,18,159900
9,14,0,2,3,86,1,0,0,365000
1,35,0,2,4,60,1,1,0,210000
0,26,0,2,2,70,1,0,7,375000
0,41,0,2,1,52,1,0,7,200000
9,14,0,4,3,183,1,0,13,1790000
9,14,0,2,5,270,1,0,10,1395000
9,22,0,2,4,128,1,0,10,649000
8,38,0,4,3,95,1,0,10,365000
9,14,0,2,3,113,1,0,12,750000
5,23,0,2,3,60,1,1,7,149500
1,45,0,2,4,107,1,0,11,435000
0,26,0,2,2,92,0,0,0,380000
1,45,0,2,2,103,1,0,0,399000
0,17,0,2,1,50,1,0,19,290000
1,12,0,2,3,72,1,0,12,360000
0,17,0,2,3,73,0,0,0,245000
7,16,0,2,2,75,1,0,15,235000
1,45,0,2,3,146,1,0,19,1430000
7,30,0,7,4,170,0,0,17,453000
7,39,0,2,3,129,1,0,18,470000
7,39,0,2,4,90,1,0,13,380000
7,32,0,2,2,50,1,0,10,209000
1,12,0,1,2,230,1,0,12,1295000
1,45,0,2,5,209,1,0,10,859000
8,49,0,2,3,59,1,0,18,178000
9,14,0,4,5,188,1,0,11,880000
2,29,0,2,4,90,1,0,0,349000
4,8,0,4,5,300,1,0,1,1950000
0,26,0,2,5,161,1,0,0,690000
9,15,0,2,6,304,1,0,12,1670000
5,1,0,2,4,70,1,0,15,270000
7,59,0,2,4,100,1,0,13,270000
4,8,0,2,5,269,1,0,7,1550000
0,41,0,2,3,49,0,0,11,147000
9,20,0,4,4,230,1,0,13,2050000
4,8,0,6,4,185,0,0,17,860000
1,53,0,2,3,153,0,0,18,790000
4,62,0,2,3,85,1,0,7,349000
6,28,0,2,3,64,0,0,0,134900
6,11,0,2,3,95,1,0,12,298000
8,19,0,2,3,60,1,0,12,175000
7,16,0,2,4,100,1,0,13,270000
8,47,0,2,4,110,1,0,11,360000
9,64,0,1,6,412,1,0,11,1850000
1,45,0,2,3,179,1,0,13,1650000
1,53,0,2,2,76,0,0,11,189000
1,53,0,4,3,100,0,0,7,320000
1,42,0,2,2,85,1,0,14,345000
9,14,0,2,4,177,1,0,11,895000
5,23,0,2,2,55,1,0,10,133900
7,32,0,2,5,120,1,0,0,375000
8,19,0,2,1,41,0,0,18,199000
1,42,0,2,4,90,1,0,0,550000
9,15,0,0,13,491,0,0,17,3500000
9,14,0,2,3,100,1,0,10,650000
1,45,0,2,3,131,1,0,13,619000
3,5,0,2,3,65,0,0,7,170000
8,18,0,2,3,68,1,0,10,249000
0,26,0,4,2,65,1,0,12,330000
9,40,0,2,2,87,1,0,0,600000
7,39,0,2,1,56,0,0,0,220000
7,39,0,1,2,104,1,0,11,470000
7,59,0,2,3,91,1,0,12,189000
9,20,0,2,5,160,1,0,7,770000
7,30,0,2,1,55,1,0,10,235000
0,17,0,2,5,162,0,0,7,495000
4,8,0,2,5,212,1,0,11,1595000
6,54,0,2,3,57,1,0,12,165000
0,26,0,2,3,114,0,0,10,335000
9,20,0,0,6,516,0,0,17,3750000
7,30,0,2,3,58,0,0,11,180000
7,37,0,2,1,64,1,0,0,400000
7,37,0,2,1,65,1,0,0,400000
7,39,0,2,4,133,1,0,11,990000
6,54,0,2,3,82,1,0,10,229000
0,26,0,4,3,112,1,0,12,790000
1,42,0,2,3,135,1,0,7,639000
9,40,0,1,3,190,1,0,18,890000
7,59,0,2,3,76,1,0,10,180000
3,36,0,2,2,65,0,0,7,169800
3,58,0,2,2,80,1,0,15,299000
4,50,0,2,2,48,1,0,13,199000
1,51,0,2,4,140,1,0,13,599850
5,23,0,2,3,60,1,1,7,149500
1,53,0,2,4,77,1,0,13,255000
0,17,0,2,1,80,1,0,0,250000
1,45,0,2,3,90,1,0,0,499000
8,49,0,2,3,64,1,0,0,220000
0,26,0,4,1,58,1,0,10,370000
4,8,0,2,3,271,1,0,13,2980000
7,39,0,2,3,70,1,0,13,321500
9,14,0,4,3,230,1,0,15,1980000
0,43,0,2,2,83,1,0,18,390000
8,38,0,2,2,50,0,0,0,250000
3,56,0,2,2,158,1,0,10,365000
0,26,0,2,2,92,0,0,19,380000
9,40,0,2,3,180,1,0,0,885000
