district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
Sarrià-Sant Gervasi,Vallvidrera - el Tibidabo i les Planes,good condition,Detached,5,380,No,exterior,Multiple,830000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,225,Yes,exterior, floor 6,1100000
Sant Martí,el Besòs i el Maresme,good condition,Flat,3,94,Yes,exterior, floor 7,359000
Sarrià-Sant Gervasi,Sarrià,good condition,House,6,296,No,exterior,Multiple,1350000
Ciutat Vella,el Barri Gòtic,good condition,Flat,1,81,No,exterior,mezzanine,430000
Horta-Guinardó,la Font d'en Fargues,good condition,Rustic,5,161,No,exterior,Multiple,490000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Penthouse,3,140,Yes,exterior, floor 5,1050000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,134,Yes,exterior, floor 4,595000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,1,86,Yes,exterior, floor 4,390000
Les Corts,les Corts,good condition,Flat,4,170,Yes,exterior, floor 1,668000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Duplex,3,197,Yes,exterior, floor 2,800000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Penthouse,4,145,Yes,exterior, floor 5,760000
Les Corts,la Maternitat i Sant Ramon,good condition,Duplex,3,170,Yes,exterior,ground floor,490000
Eixample,la Sagrada Família,good condition,Flat,4,101,Yes,interior, floor 3,309000
Horta-Guinardó,la Font d'en Fargues,good condition,Flat,4,122,No,exterior, floor 2,449000
Eixample,la Dreta de l'Eixample,good condition,Penthouse,2,213,Yes,exterior, floor 7,1500000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,105,Yes,exterior, floor 2,630000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,318,Yes,exterior, floor 4,2500000
Eixample,Sant Antoni,good condition,Flat,3,80,Yes,exterior, floor 2,365000
Sant Martí,Provençals del Poblenou,good condition,Flat,4,90,Yes,exterior, floor 4,370000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,4,109,Yes,exterior, floor 7,475000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,110,Yes,exterior, floor 3,645000
Eixample,el Fort Pienc,good condition,Flat,4,97,Yes,exterior, floor 2,495000
Eixample,Sant Antoni,good condition,Penthouse,3,101,Yes,exterior, floor 5,480000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,3,130,Yes,exterior,mezzanine,630000
Gràcia,Vallcarca i els Penitents,good condition,Semi-detached,4,364,No,exterior,Multiple,1149000
Sarrià-Sant Gervasi,Sarrià,good condition,Semi-detached,5,465,No,exterior,Multiple,3370000
Les Corts,les Corts,good condition,Flat,3,88,Yes,exterior, floor 2,389000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,4,85,Yes,exterior, floor 6,375000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,113,Yes,exterior,mezzanine,378000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,108,Yes,exterior,mezzanine,375000
Sants-Montjuïc,la Bordeta,good condition,Flat,4,90,Yes,exterior, floor 3,279500
Les Corts,les Corts,good condition,Flat,2,134,Yes,exterior, floor 1,670000
Sarrià-Sant Gervasi,Sarrià,good condition,Flat,4,217,Yes,exterior, floor 4,1150000
Les Corts,les Corts,good condition,Flat,3,121,Yes,exterior, floor 6,1454000
Les Corts,les Corts,good condition,Flat,3,95,Yes,exterior, floor 5,1082000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,125,Yes,exterior, floor 5,690000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,71,Yes,exterior, floor 3,348000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,3,90,No,exterior,ground floor,490000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,90,Yes,exterior, floor 3,760000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,148,Yes,exterior,mezzanine,1325000
Eixample,la Dreta de l'Eixample,good condition,Flat,5,206,Yes,exterior, floor 4,1095000
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,good condition,Penthouse,4,147,Yes,exterior, floor 5,790000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,118,Yes,exterior, floor 3,975000
Eixample,la Sagrada Família,good condition,Flat,3,121,Yes,exterior, floor 1,465000
Gràcia,la Salut,good condition,Flat,3,91,Yes,exterior, floor 1,499000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,93,Yes,exterior, floor 8,405000
Horta-Guinardó,la Font d'en Fargues,good condition,Flat,2,64,No,exterior,ground floor,149000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,138,Yes,exterior, floor 2,850000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,126,Yes,exterior, floor 1,735000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,130,Yes,exterior, floor 1,795000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,132,Yes,exterior,mezzanine,599000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,135,Yes,exterior, floor 4,895000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,115,Yes,exterior, floor 4,615000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,144,Yes,exterior, floor 4,630000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,141,Yes,exterior, floor 3,825000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,128,Yes,exterior, floor 4,749000
